f_spot,tempSpot,wavelength,D_lambda,epsilon_Rackham,epsilon_ourWork
0.000000000000000000e+00,nan,4.434000000000000341e+02,7.897150730473923431e+03,nan,nan
0.000000000000000000e+00,nan,5.300000000000000000e+02,8.153339607893550237e+03,nan,nan
0.000000000000000000e+00,nan,6.703999999999999773e+02,8.412460637537977163e+03,nan,nan
0.000000000000000000e+00,nan,8.213000000000000682e+02,8.541472495208758119e+03,nan,nan
0.000000000000000000e+00,nan,9.720000000000000000e+02,8.630822879019395259e+03,nan,nan
0.000000000000000000e+00,nan,1.123000000000000000e+03,8.689113157578365644e+03,nan,nan
0.000000000000000000e+00,nan,1.273000000000000000e+03,8.742328060074245514e+03,nan,nan
0.000000000000000000e+00,nan,1.424000000000000000e+03,8.793615293156364714e+03,nan,nan
0.000000000000000000e+00,nan,1.759000000000000000e+03,8.885130134252405696e+03,nan,nan
0.000000000000000000e+00,nan,2.244000000000000000e+03,8.890166684388133945e+03,nan,nan
0.000000000000000000e+00,nan,2.855000000000000000e+03,8.914633867045273291e+03,nan,nan
0.000000000000000000e+00,nan,3.803000000000000000e+03,8.959259918709161866e+03,nan,nan
0.000000000000000000e+00,nan,4.390000000000000000e+03,8.884217117496207720e+03,nan,nan
0.000000000000000000e+00,nan,5.023000000000000000e+03,8.947658236459821637e+03,nan,nan
1.000000000000000194e-02,2.928000000000000000e+03,4.434000000000000341e+02,8.003025405970643078e+03,1.010066228212904038e+00,1.013406693009944126e+00
1.000000000000000194e-02,2.928000000000000000e+03,5.300000000000000000e+02,8.256884321658830231e+03,1.010013627083716115e+00,1.012699668938729758e+00
1.000000000000000194e-02,2.928000000000000000e+03,6.703999999999999773e+02,8.512199541779507854e+03,1.009868738018741219e+00,1.011856091640592981e+00
1.000000000000000194e-02,2.928000000000000000e+03,8.213000000000000682e+02,8.637624344804084103e+03,1.009649616063750921e+00,1.011257057802300574e+00
1.000000000000000194e-02,2.928000000000000000e+03,9.720000000000000000e+02,8.723502302942610186e+03,1.009396178938291255e+00,1.010738190925978719e+00
1.000000000000000194e-02,2.928000000000000000e+03,1.123000000000000000e+03,8.778610696287492829e+03,1.009133199309147466e+00,1.010299962388114370e+00
1.000000000000000194e-02,2.928000000000000000e+03,1.273000000000000000e+03,8.828906267052572730e+03,1.008878779833611183e+00,1.009903335402582814e+00
1.000000000000000194e-02,2.928000000000000000e+03,1.424000000000000000e+03,8.877396585252661680e+03,1.008637821135263790e+00,1.009527513918137887e+00
1.000000000000000194e-02,2.928000000000000000e+03,1.759000000000000000e+03,8.963463292672835451e+03,1.008170865336293742e+00,1.008816208343246812e+00
1.000000000000000194e-02,2.928000000000000000e+03,2.244000000000000000e+03,8.963392834375083112e+03,1.007649774090527695e+00,1.008236757823173457e+00
1.000000000000000194e-02,2.928000000000000000e+03,2.855000000000000000e+03,8.982827980897001908e+03,1.007185199561972277e+00,1.007649681957642818e+00
1.000000000000000194e-02,2.928000000000000000e+03,3.803000000000000000e+03,9.022030129905211652e+03,1.006717903290613059e+00,1.007006182627313784e+00
1.000000000000000194e-02,2.928000000000000000e+03,4.390000000000000000e+03,8.943968442655324907e+03,1.006519798939474075e+00,1.006725558861168102e+00
