f_spot,tempSpot,wavelength,D_lambda,epsilon_Rackham,epsilon_ourWork
0.000000000000000000e+00,nan,4.460000000000000000e+02,1.829143107820851947e+04,nan,nan
0.000000000000000000e+00,nan,5.580000000000000000e+02,1.794568378224426124e+04,nan,nan
0.000000000000000000e+00,nan,6.660000000000000000e+02,1.765660865799656312e+04,nan,nan
0.000000000000000000e+00,nan,8.640000000000000000e+02,1.730957863451665253e+04,nan,nan
0.000000000000000000e+00,nan,1.062000000000000000e+03,1.715986675193925839e+04,nan,nan
0.000000000000000000e+00,nan,1.392000000000000000e+03,1.708743369721410636e+04,nan,nan
0.000000000000000000e+00,nan,2.050000000000000000e+03,1.680191910921579984e+04,nan,nan
0.000000000000000000e+00,nan,3.105000000000000000e+03,1.664202150785765116e+04,nan,nan
0.000000000000000000e+00,nan,4.027000000000000000e+03,1.655696845708731780e+04,nan,nan
0.000000000000000000e+00,nan,5.150000000000000000e+03,1.660661297509890937e+04,nan,nan
1.000000000000000194e-02,4.450000000000000000e+03,4.460000000000000000e+02,1.838720354379674973e+04,1.003691179681078571e+00,1.005235919769138730e+00
1.000000000000000194e-02,4.450000000000000000e+03,5.580000000000000000e+02,1.801902498317497884e+04,1.003084709464314050e+00,1.004086843489534919e+00
1.000000000000000194e-02,4.450000000000000000e+03,6.660000000000000000e+02,1.771614028209389653e+04,1.002669525237458448e+00,1.003371634114480493e+00
1.000000000000000194e-02,4.450000000000000000e+03,8.640000000000000000e+02,1.735431518755459183e+04,1.002161520464579514e+00,1.002584496941406167e+00
1.000000000000000194e-02,4.450000000000000000e+03,1.062000000000000000e+03,1.719667359146204035e+04,1.001840774308174753e+00,1.002144937373632194e+00
1.000000000000000194e-02,4.450000000000000000e+03,1.392000000000000000e+03,1.711694040644307097e+04,1.001515492012309494e+00,1.001726807533057206e+00
1.000000000000000194e-02,4.450000000000000000e+03,2.050000000000000000e+03,1.682384357225985514e+04,1.001196670345197548e+00,1.001304878502362827e+00
1.000000000000000194e-02,4.450000000000000000e+03,3.105000000000000000e+03,1.665961453883668582e+04,1.000984925795970870e+00,1.001057145069228937e+00
1.000000000000000194e-02,4.450000000000000000e+03,4.027000000000000000e+03,1.657264010634251827e+04,1.000896728972380467e+00,1.000946528906896171e+00
1.000000000000000194e-02,4.450000000000000000e+03,5.150000000000000000e+03,1.662094449712314599e+04,1.000834605057011606e+00,1.000863000904864020e+00
1.482758620689655048e-02,4.450000000000000000e+03,4.460000000000000000e+02,1.843367397884943057e+04,1.005482898737523056e+00,1.007776477413534488e+00
1.482758620689655048e-02,4.450000000000000000e+03,5.580000000000000000e+02,1.805457766194151918e+04,1.004580700993428000e+00,1.006067970494665564e+00
1.482758620689655048e-02,4.450000000000000000e+03,6.660000000000000000e+02,1.774498157086812353e+04,1.003963369296958952e+00,1.005005089855210532e+00
1.482758620689655048e-02,4.450000000000000000e+03,8.640000000000000000e+02,1.737597459074868675e+04,1.003208361003740112e+00,1.003835792750011668e+00
1.482758620689655048e-02,4.450000000000000000e+03,1.062000000000000000e+03,1.721448675108394673e+04,1.002731851633231530e+00,1.003183008349322725e+00
1.482758620689655048e-02,4.450000000000000000e+03,1.392000000000000000e+03,1.713121612501633354e+04,1.002248754072172066e+00,1.002562258825874242e+00
1.482758620689655048e-02,4.450000000000000000e+03,2.050000000000000000e+03,1.683444823905777594e+04,1.001775398923616889e+00,1.001936036570020949e+00
1.482758620689655048e-02,4.450000000000000000e+03,3.105000000000000000e+03,1.666810800799422941e+04,1.001461101941539589e+00,1.001567507897058062e+00
